animeID,name,premiered,genre,type,episodes,producer,licensor,studio,source,scored,scoredBy,members
23265,Genroku Koi Moyou: Sankichi to Osayo,None,"['Adventure', 'Romance']",Movie,1,['The National Film Center Japan'],[],[],Original,5.37,99,248
23267,Osaru no Tairyou,None,['Slice of Life'],Movie,1,[],[],[],Original,5.3,65,185
23269,Hello!! Kiniro Mosaic,Spring 2015,"['Slice of Life', 'Comedy', 'School', 'Seinen']",TV,12,"['Genco', 'flying DOG', 'Showgate']",['Sentai Filmworks'],['Studio Gokumi'],4-koma manga,7.6,21367,45869
23273,Shigatsu wa Kimi no Uso,Fall 2014,"['Drama', 'Music', 'Romance', 'School', 'Shounen']",TV,22,"['Aniplex', 'Dentsu', 'Kodansha', 'Fuji TV', 'Kyoraku Industrial Holdings']",['Aniplex of America'],['A-1 Pictures'],Manga,8.88,411504,714296
23275,Tsubu★Doll,None,['Music'],OVA,5,[],[],[],Original,0,0,1429
23277,Saenai Heroine no Sodatekata,Winter 2015,"['Harem', 'Comedy', 'Romance', 'Ecchi', 'School']",TV,12,"['Aniplex', 'Dentsu', 'Fuji TV', 'Half H.P Studio', 'Cospa', 'Fuji Pacific Music Publishing', 'Good Smile Company', 'Kyoraku Industrial Holdings', 'Kansai Telecasting', 'Fujimi Shobo']",['Aniplex of America'],['A-1 Pictures'],Light novel,7.65,127160,262075
23279,Gyakusatsu Kikan,None,"['Military', 'Sci-Fi', 'Psychological']",Movie,1,['Twin Engine'],['Funimation'],"['Manglobe', 'Geno Studio']",Novel,7.26,3575,25552
23281,Psycho-Pass 2,Fall 2014,"['Action', 'Sci-Fi', 'Police', 'Psychological']",TV,11,"['Production I.G', 'Dentsu', 'Fuji TV', 'Nitroplus', 'Sony Music Entertainment', 'TOHO animation', 'Kyoraku Industrial Holdings']",['Funimation'],['Tatsunoko Production'],Original,7.54,172337,323107
23283,Zankyou no Terror,Summer 2014,"['Mystery', 'Psychological', 'Thriller']",TV,11,"['Aniplex', 'Dentsu', 'Fuji TV', 'Tohokushinsha Film Corporation', 'Kyoraku Industrial Holdings']",['Funimation'],['MAPPA'],Original,8.21,282887,510430
23285,Paulette no Isu,None,"['Slice of Life', 'Comedy', 'Kids']",ONA,1,['Studio Colorido'],[],[],Unknown,7.12,3330,5090
23289,Gekkan Shoujo Nozaki-kun,Summer 2014,"['Comedy', 'Romance', 'School']",TV,12,"['TV Tokyo', 'Frontier Works', 'Media Factory', 'AT-X', 'Sony Music Communications']",['Sentai Filmworks'],['Doga Kobo'],4-koma manga,8.15,229715,418283
23293,Lupin the IIIrd: Jigen Daisuke no Bohyou,None,"['Action', 'Adventure', 'Comedy', 'Drama', 'Seinen']",Movie,1,[],['Discotek Media'],['TMS Entertainment'],Manga,7.9,4876,10698
23299,Pokemon Best Wishes! Season 2: Decolora Adventure - Iris vs. Ibuki! Dragon Master e no Michi!!,None,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Kids']",Special,1,['TV Tokyo'],[],[],Unknown,6.71,1771,3917
23301,Pokemon XY: Mega Evolution,None,"['Action', 'Adventure', 'Comedy', 'Kids', 'Fantasy']",Special,4,['TV Tokyo'],['The Pokemon Company International'],['OLM'],Game,7.61,8025,14466
23303,Hiroshima e no Tabi,None,"['Drama', 'Historical', 'Slice of Life']",OVA,1,['Shinano Kikaku'],[],['Toei Animation'],Unknown,5.71,17,118
23305,Shin Sei Yariman Gakuen Enkou Nikki The Animation,None,['Hentai'],OVA,1,['Pink Pineapple'],[],['Seven'],Visual novel,6.63,1407,3682
23309,Rail Wars!,Summer 2014,"['Action', 'Harem', 'Police', 'Ecchi']",TV,12,"['Lantis', 'Pony Canyon', 'TBS']",['Sentai Filmworks'],['Passione'],Light novel,6.45,50787,110635
23311,Garo: Honoo no Kokuin,Fall 2014,"['Action', 'Demons', 'Supernatural', 'Magic', 'Fantasy']",TV,24,['Tohokushinsha Film Corporation'],['Funimation'],['MAPPA'],Original,7.5,31245,88838
23313,Zettai Zetsumei Dangerous Jiisan,Fall 2003,"['Comedy', 'Kids']",TV,33,[],[],[],Unknown,5.44,18,124
23317,Kuroshitsuji: Book of Murder,None,"['Comedy', 'Demons', 'Fantasy', 'Historical', 'Mystery', 'Shounen', 'Supernatural']",OVA,2,['DeNA'],['Funimation'],['A-1 Pictures'],Manga,8.34,51179,106806
23319,"Suisei no Gargantia: Meguru Kouro, Haruka",None,"['Action', 'Adventure', 'Mecha', 'Sci-Fi']",OVA,2,['Bandai Visual'],[],['Production I.G'],Original,7.44,11869,26463
23321,Log Horizon 2nd Season,Fall 2014,"['Action', 'Adventure', 'Fantasy', 'Game', 'Magic']",TV,25,['NHK'],['Sentai Filmworks'],['Studio Deen'],Novel,7.67,168502,310145
